Label,Industry
AAPL,Consumer Electronics
AMZN,Internet Retail
FB,Unclassified
GOOGL,Internet Content & Information
TSLA,Auto Manufacturers
NFLX,Entertainment
NVDA,Semiconductors
MSFT,Software - Infrastructure
TWTR,Unclassified
SNAP,Internet Content & Information
GS,Capital Markets
BAC,Banks - Diversified
AMD,Semiconductors
INTC,Semiconductors
JPM,Banks - Diversified
JNJ,Drug Manufacturers - General
C,Banks - Diversified
T,Telecom Services
GILD,Drug Manufacturers - General
IBM,Information Technology Services
MU,Semiconductors
DIS,Entertainment
F,Auto Manufacturers
WMT,Discount Stores
MRK,Drug Manufacturers - General
GE,Aerospace & Defense
CSCO,Communication Equipment
PCLN,Unclassified
AMGN,Drug Manufacturers - General
PFE,Drug Manufacturers - General
GM,Auto Manufacturers
KO,Beverages - Non-Alcoholic
BA,Aerospace & Defense
WFC,Banks - Diversified
SBUX,Restaurants
MS,Capital Markets
CMG,Restaurants
QCOM,Semiconductors
SRPT,Biotechnology
XOM,Oil & Gas Integrated
TGT,Discount Stores
CAT,Farm & Heavy Construction Machinery
V,Credit Services
BMY,Drug Manufacturers - General
VZ,Telecom Services
M,Department Stores
HD,Home Improvement Retail
MCD,Restaurants
X,Steel
PEP,Beverages - Non-Alcoholic
