ID,Label,Industry
AAPL,AAPL,35.0
AMZN,AMZN,34.0
FB,FB,34.0
GOOGL,GOOGL,34.0
TSLA,TSLA,
NFLX,NFLX,7.0
NVDA,NVDA,36.0
MSFT,MSFT,34.0
TWTR,TWTR,34.0
SNAP,SNAP,34.0
GS,GS,47.0
BAC,BAC,44.0
AMD,AMD,36.0
INTC,INTC,36.0
JPM,JPM,44.0
JNJ,JNJ,13.0
C,C,44.0
T,T,32.0
GILD,GILD,13.0
IBM,IBM,34.0
MU,MU,36.0
DIS,DIS,34.0
F,F,23.0
WMT,WMT,42.0
MRK,MRK,13.0
GE,GE,21.0
CSCO,CSCO,36.0
PCLN,PCLN,34.0
AMGN,AMGN,13.0
PFE,PFE,13.0
GM,GM,23.0
KO,KO,3.0
BA,BA,24.0
WFC,WFC,44.0
SBUX,SBUX,43.0
MS,MS,47.0
CMG,CMG,43.0
QCOM,QCOM,36.0
SRPT,SRPT,13.0
XOM,XOM,30.0
TGT,TGT,42.0
CAT,CAT,21.0
V,V,34.0
BMY,BMY,13.0
VZ,VZ,32.0
M,M,42.0
HD,HD,42.0
MCD,MCD,43.0
X,X,19.0
PEP,PEP,3.0
