Source,Target,Type,Id,Label,Weight
KO,AAPL,Undirected,2880825,,12111
BAC,AAPL,Undirected,2880826,,22063
V,AAPL,Undirected,2880827,,4931
DIS,AAPL,Undirected,2880828,,14321
CMG,AAPL,Undirected,2880829,,6922
GM,AAPL,Undirected,2880830,,8192
IBM,AAPL,Undirected,2880831,,19947
QCOM,AAPL,Undirected,2880832,,14454
WMT,AAPL,Undirected,2880833,,12692
MS,AAPL,Undirected,2880834,,4145
SNAP,AAPL,Undirected,2880835,,17868
T,AAPL,Undirected,2880836,,9902
SRPT,AAPL,Undirected,2880837,,11400
INTC,AAPL,Undirected,2880838,,27965
WFC,AAPL,Undirected,2880839,,6331
NFLX,AAPL,Undirected,2880840,,76249
GOOGL,AAPL,Undirected,2880841,,149335
C,AAPL,Undirected,2880842,,13728
MSFT,AAPL,Undirected,2880843,,72142
AMZN,AAPL,Undirected,2880844,,151702
GS,AAPL,Undirected,2880845,,28140
SBUX,AAPL,Undirected,2880846,,7883
TGT,AAPL,Undirected,2880847,,3177
BA,AAPL,Undirected,2880848,,10773
X,AAPL,Undirected,2880849,,5314
PCLN,AAPL,Undirected,2880850,,14971
MCD,AAPL,Undirected,2880851,,5991
AMD,AAPL,Undirected,2880852,,20816
M,AAPL,Undirected,2880853,,2058
NVDA,AAPL,Undirected,2880854,,57366
PFE,AAPL,Undirected,2880855,,7134
JPM,AAPL,Undirected,2880856,,15647
FB,AAPL,Undirected,2880857,,144877
JNJ,AAPL,Undirected,2880858,,10561
TSLA,AAPL,Undirected,2880859,,104644
PEP,AAPL,Undirected,2880860,,8465
HD,AAPL,Undirected,2880861,,5729
MU,AAPL,Undirected,2880862,,10658
XOM,AAPL,Undirected,2880863,,9971
CSCO,AAPL,Undirected,2880864,,7818
F,AAPL,Undirected,2880865,,41622
VZ,AAPL,Undirected,2880866,,6403
GE,AAPL,Undirected,2880867,,11278
GILD,AAPL,Undirected,2880868,,10522
AMGN,AAPL,Undirected,2880869,,14751
BMY,AAPL,Undirected,2880870,,2112
TWTR,AAPL,Undirected,2880871,,35567
MRK,AAPL,Undirected,2880872,,6926
CAT,AAPL,Undirected,2880873,,6606
M,AMD,Undirected,2880874,,803
WFC,AMD,Undirected,2880875,,1129
NFLX,AMD,Undirected,2880877,,8561
QCOM,AMD,Undirected,2880878,,2519
SBUX,AMD,Undirected,2880879,,923
BA,AMD,Undirected,2880880,,2358
CMG,AMD,Undirected,2880881,,4098
MU,AMD,Undirected,2880882,,13522
WMT,AMD,Undirected,2880883,,646
CSCO,AMD,Undirected,2880884,,4461
C,AMD,Undirected,2880885,,4631
KO,AMD,Undirected,2880886,,609
CAT,AMD,Undirected,2880887,,2457
SRPT,AMD,Undirected,2880888,,213
PEP,AMD,Undirected,2880889,,117
BMY,AMD,Undirected,2880890,,2958
F,AMD,Undirected,2880891,,5668
HD,AMD,Undirected,2880892,,554
VZ,AMD,Undirected,2880893,,605
GS,AMD,Undirected,2880894,,5741
TWTR,AMD,Undirected,2880895,,6010
GILD,AMD,Undirected,2880896,,2876
BAC,AMD,Undirected,2880897,,10318
GOOGL,AMD,Undirected,2880898,,12001
GM,AMD,Undirected,2880899,,2550
JNJ,AMD,Undirected,2880900,,711
SNAP,AMD,Undirected,2880901,,6498
DIS,AMD,Undirected,2880902,,1146
TSLA,AMD,Undirected,2880903,,17494
T,AMD,Undirected,2880904,,6000
GE,AMD,Undirected,2880905,,3250
AMZN,AMD,Undirected,2880906,,15084
MRK,AMD,Undirected,2880907,,2896
JPM,AMD,Undirected,2880908,,4956
NVDA,AMD,Undirected,2880909,,41912
XOM,AMD,Undirected,2880910,,1294
MSFT,AMD,Undirected,2880911,,9194
IBM,AMD,Undirected,2880912,,1984
FB,AMD,Undirected,2880913,,14093
INTC,AMD,Undirected,2880914,,22846
MS,AMD,Undirected,2880915,,1052
PCLN,AMD,Undirected,2880916,,628
PFE,AMD,Undirected,2880917,,4593
V,AMD,Undirected,2880918,,1457
TGT,AMD,Undirected,2880919,,431
AMGN,AMD,Undirected,2880920,,673
MCD,AMD,Undirected,2880921,,2039
X,AMD,Undirected,2880922,,4068
PEP,AMGN,Undirected,2880923,,1340
GILD,AMGN,Undirected,2880924,,10883
JNJ,AMGN,Undirected,2880925,,7982
X,AMGN,Undirected,2880926,,297
KO,AMGN,Undirected,2880927,,1917
SNAP,AMGN,Undirected,2880928,,5307
GS,AMGN,Undirected,2880930,,6449
MSFT,AMGN,Undirected,2880931,,2022
C,AMGN,Undirected,2880932,,2242
QCOM,AMGN,Undirected,2880933,,682
BMY,AMGN,Undirected,2880934,,6611
MS,AMGN,Undirected,2880935,,128
FB,AMGN,Undirected,2880936,,13716
V,AMGN,Undirected,2880937,,381
CMG,AMGN,Undirected,2880938,,714
VZ,AMGN,Undirected,2880939,,1215
GE,AMGN,Undirected,2880940,,407
M,AMGN,Undirected,2880941,,127
INTC,AMGN,Undirected,2880942,,921
SBUX,AMGN,Undirected,2880943,,258
WMT,AMGN,Undirected,2880944,,251
TGT,AMGN,Undirected,2880945,,139
SRPT,AMGN,Undirected,2880946,,15388
CSCO,AMGN,Undirected,2880947,,752
CAT,AMGN,Undirected,2880948,,560
JPM,AMGN,Undirected,2880949,,781
DIS,AMGN,Undirected,2880950,,891
NVDA,AMGN,Undirected,2880951,,841
IBM,AMGN,Undirected,2880952,,970
GOOGL,AMGN,Undirected,2880953,,14093
TSLA,AMGN,Undirected,2880954,,2987
MU,AMGN,Undirected,2880955,,170
BA,AMGN,Undirected,2880956,,1019
GM,AMGN,Undirected,2880957,,652
T,AMGN,Undirected,2880958,,2074
XOM,AMGN,Undirected,2880959,,285
HD,AMGN,Undirected,2880960,,1025
PFE,AMGN,Undirected,2880962,,6985
AMZN,AMGN,Undirected,2880963,,4327
TWTR,AMGN,Undirected,2880964,,3209
BAC,AMGN,Undirected,2880965,,5618
WFC,AMGN,Undirected,2880966,,466
MCD,AMGN,Undirected,2880967,,407
F,AMGN,Undirected,2880968,,511
NFLX,AMGN,Undirected,2880969,,4081
PCLN,AMGN,Undirected,2880970,,3163
MRK,AMGN,Undirected,2880971,,13364
SNAP,AMZN,Undirected,2880973,,20031
MCD,AMZN,Undirected,2880974,,6632
C,AMZN,Undirected,2880975,,9373
M,AMZN,Undirected,2880976,,9201
CMG,AMZN,Undirected,2880977,,11254
X,AMZN,Undirected,2880978,,3945
GILD,AMZN,Undirected,2880979,,7511
WMT,AMZN,Undirected,2880980,,47116
FB,AMZN,Undirected,2880981,,128033
BAC,AMZN,Undirected,2880982,,12756
SRPT,AMZN,Undirected,2880983,,1327
GS,AMZN,Undirected,2880984,,22722
PFE,AMZN,Undirected,2880985,,2905
IBM,AMZN,Undirected,2880986,,13364
GM,AMZN,Undirected,2880987,,5859
GE,AMZN,Undirected,2880988,,9132
MRK,AMZN,Undirected,2880989,,4012
T,AMZN,Undirected,2880991,,12876
PEP,AMZN,Undirected,2880992,,5232
XOM,AMZN,Undirected,2880993,,5497
CAT,AMZN,Undirected,2880994,,4334
QCOM,AMZN,Undirected,2880995,,2662
JNJ,AMZN,Undirected,2880996,,5588
MS,AMZN,Undirected,2880997,,1827
PCLN,AMZN,Undirected,2880998,,18958
INTC,AMZN,Undirected,2880999,,23572
NFLX,AMZN,Undirected,2881000,,100330
BMY,AMZN,Undirected,2881001,,1439
DIS,AMZN,Undirected,2881002,,19426
JPM,AMZN,Undirected,2881003,,10502
V,AMZN,Undirected,2881004,,4243
TWTR,AMZN,Undirected,2881005,,36996
BA,AMZN,Undirected,2881006,,8670
TSLA,AMZN,Undirected,2881008,,95331
VZ,AMZN,Undirected,2881009,,4166
WFC,AMZN,Undirected,2881010,,4562
F,AMZN,Undirected,2881011,,7510
TGT,AMZN,Undirected,2881012,,15814
CSCO,AMZN,Undirected,2881013,,10846
SBUX,AMZN,Undirected,2881014,,11045
KO,AMZN,Undirected,2881015,,7616
NVDA,AMZN,Undirected,2881016,,54486
MSFT,AMZN,Undirected,2881017,,72892
MU,AMZN,Undirected,2881018,,5747
HD,AMZN,Undirected,2881019,,6390
GOOGL,AMZN,Undirected,2881020,,159603
TGT,BA,Undirected,2881021,,531
INTC,BA,Undirected,2881022,,3894
SRPT,BA,Undirected,2881023,,112
DIS,BA,Undirected,2881024,,3120
MCD,BA,Undirected,2881025,,4854
CAT,BA,Undirected,2881026,,6422
MRK,BA,Undirected,2881027,,1659
C,BA,Undirected,2881028,,1700
M,BA,Undirected,2881029,,253
BAC,BA,Undirected,2881031,,1923
HD,BA,Undirected,2881033,,3009
JNJ,BA,Undirected,2881034,,2482
CSCO,BA,Undirected,2881036,,2693
PFE,BA,Undirected,2881037,,696
MS,BA,Undirected,2881038,,720
MSFT,BA,Undirected,2881039,,5305
XOM,BA,Undirected,2881040,,1316
PEP,BA,Undirected,2881041,,1533
SNAP,BA,Undirected,2881042,,743
IBM,BA,Undirected,2881043,,4835
PCLN,BA,Undirected,2881044,,2057
GE,BA,Undirected,2881045,,4506
VZ,BA,Undirected,2881046,,1334
JPM,BA,Undirected,2881047,,3730
KO,BA,Undirected,2881048,,2629
GOOGL,BA,Undirected,2881049,,6077
CMG,BA,Undirected,2881050,,2922
T,BA,Undirected,2881051,,2767
NVDA,BA,Undirected,2881052,,2090
NFLX,BA,Undirected,2881053,,2914
GM,BA,Undirected,2881054,,3678
TSLA,BA,Undirected,2881055,,2868
TWTR,BA,Undirected,2881056,,3316
MU,BA,Undirected,2881057,,651
F,BA,Undirected,2881058,,3424
GS,BA,Undirected,2881059,,3914
GILD,BA,Undirected,2881060,,1979
WFC,BA,Undirected,2881061,,1494
WMT,BA,Undirected,2881062,,1491
V,BA,Undirected,2881063,,2306
FB,BA,Undirected,2881064,,5312
BMY,BA,Undirected,2881065,,621
QCOM,BA,Undirected,2881066,,810
SBUX,BA,Undirected,2881067,,1331
X,BA,Undirected,2881068,,1347
VZ,BAC,Undirected,2881070,,1667
PFE,BAC,Undirected,2881071,,9411
SRPT,BAC,Undirected,2881072,,316
KO,BAC,Undirected,2881073,,2358
TSLA,BAC,Undirected,2881074,,13186
MU,BAC,Undirected,2881075,,7987
GS,BAC,Undirected,2881076,,29816
CMG,BAC,Undirected,2881077,,1900
X,BAC,Undirected,2881078,,2428
F,BAC,Undirected,2881079,,5053
JNJ,BAC,Undirected,2881080,,4554
GM,BAC,Undirected,2881081,,2169
MCD,BAC,Undirected,2881082,,1380
T,BAC,Undirected,2881083,,5699
MRK,BAC,Undirected,2881084,,7565
SNAP,BAC,Undirected,2881085,,3322
XOM,BAC,Undirected,2881086,,2574
GE,BAC,Undirected,2881087,,7774
IBM,BAC,Undirected,2881088,,4545
NVDA,BAC,Undirected,2881089,,10596
QCOM,BAC,Undirected,2881090,,2602
C,BAC,Undirected,2881091,,30150
HD,BAC,Undirected,2881092,,1848
GOOGL,BAC,Undirected,2881094,,11692
PCLN,BAC,Undirected,2881095,,3025
BMY,BAC,Undirected,2881096,,3296
WFC,BAC,Undirected,2881097,,18448
JPM,BAC,Undirected,2881098,,37142
WMT,BAC,Undirected,2881100,,2204
CAT,BAC,Undirected,2881101,,1239
FB,BAC,Undirected,2881102,,15377
NFLX,BAC,Undirected,2881103,,12580
MSFT,BAC,Undirected,2881105,,8255
V,BAC,Undirected,2881106,,2547
SBUX,BAC,Undirected,2881107,,722
M,BAC,Undirected,2881108,,795
DIS,BAC,Undirected,2881109,,2514
CSCO,BAC,Undirected,2881110,,3564
PEP,BAC,Undirected,2881111,,948
GILD,BAC,Undirected,2881112,,1637
TWTR,BAC,Undirected,2881114,,3662
MS,BAC,Undirected,2881115,,10965
INTC,BAC,Undirected,2881117,,3931
TGT,BAC,Undirected,2881118,,812
PFE,BMY,Undirected,2881119,,9240
KO,BMY,Undirected,2881120,,924
C,BMY,Undirected,2881121,,2897
F,BMY,Undirected,2881122,,1020
X,BMY,Undirected,2881123,,177
JNJ,BMY,Undirected,2881124,,10566
TWTR,BMY,Undirected,2881125,,1374
SRPT,BMY,Undirected,2881126,,302
PEP,BMY,Undirected,2881127,,749
