Ticker,Company,Industry
MMM,3M,Conglomerates
AOS,A. O. Smith,Specialty Industrial Machinery
ABT,Abbott Laboratories,Medical Devices
ABBV,AbbVie,Drug Manufacturers - General
ACN,Accenture,Information Technology Services
ADBE,Adobe Inc.,Software - Application
AMD,Advanced Micro Devices,Semiconductors
AES,AES Corporation,Utilities - Diversified
AFL,Aflac,Insurance - Life
A,Agilent Technologies,Diagnostics & Research
APD,Air Products,Specialty Chemicals
ABNB,Airbnb,Travel Services
AKAM,Akamai Technologies,Software - Infrastructure
ALB,Albemarle Corporation,Specialty Chemicals
ARE,Alexandria Real Estate Equities,REIT - Office
ALGN,Align Technology,Medical Instruments & Supplies
ALLE,Allegion,Security & Protection Services
LNT,Alliant Energy,Utilities - Regulated Electric
ALL,Allstate,Insurance - Property & Casualty
GOOGL,Alphabet Inc. (Class A),Internet Content & Information
GOOG,Alphabet Inc. (Class C),Internet Content & Information
MO,Altria,Tobacco
AMZN,Amazon,Internet Retail
AMCR,Amcor,Packaging & Containers
AEE,Ameren,Utilities - Regulated Electric
AEP,American Electric Power,Utilities - Regulated Electric
AXP,American Express,Credit Services
AIG,American International Group,Insurance - Diversified
AMT,American Tower,REIT - Specialty
AWK,American Water Works,Utilities - Regulated Water
AMP,Ameriprise Financial,Asset Management
AME,Ametek,Specialty Industrial Machinery
AMGN,Amgen,Drug Manufacturers - General
APH,Amphenol,Electronic Components
ADI,Analog Devices,Semiconductors
ANSS,Ansys,Software - Application
AON,Aon plc,Insurance Brokers
APA,APA Corporation,Oil & Gas E&P
APO,Apollo Global Management,Asset Management
AAPL,Apple Inc.,Consumer Electronics
AMAT,Applied Materials,Semiconductor Equipment & Materials
APTV,Aptiv,Auto Parts
ACGL,Arch Capital Group,Insurance - Diversified
ADM,Archer Daniels Midland,Farm Products
ANET,Arista Networks,Computer Hardware
AJG,Arthur J. Gallagher & Co.,Insurance Brokers
AIZ,Assurant,Insurance - Property & Casualty
T,AT&T,Telecom Services
ATO,Atmos Energy,Utilities - Regulated Gas
ADSK,Autodesk,Software - Application
ADP,Automatic Data Processing,Software - Application
AZO,AutoZone,Auto Parts
AVB,AvalonBay Communities,REIT - Residential
AVY,Avery Dennison,Packaging & Containers
AXON,Axon Enterprise,Aerospace & Defense
BKR,Baker Hughes,Oil & Gas Equipment & Services
BALL,Ball Corporation,Packaging & Containers
BAC,Bank of America,Banks - Diversified
BAX,Baxter International,Medical Instruments & Supplies
BDX,Becton Dickinson,Medical Instruments & Supplies
BRK.B,Berkshire Hathaway,N/A
BBY,Best Buy,Specialty Retail
TECH,Bio-Techne,Biotechnology
BIIB,Biogen,Drug Manufacturers - General
BLK,BlackRock,Asset Management
BX,Blackstone Inc.,Asset Management
BK,BNY Mellon,Banks - Diversified
BA,Boeing,Aerospace & Defense
BKNG,Booking Holdings,Travel Services
BSX,Boston Scientific,Medical Devices
BMY,Bristol Myers Squibb,Drug Manufacturers - General
AVGO,Broadcom,Semiconductors
BR,Broadridge Financial Solutions,Information Technology Services
BRO,Brown & Brown,Insurance Brokers
BF.B,Brown–Forman,N/A
BLDR,Builders FirstSource,Building Products & Equipment
BG,Bunge Global,Farm Products
BXP,"BXP, Inc.",REIT - Office
CHRW,C.H. Robinson,Integrated Freight & Logistics
CDNS,Cadence Design Systems,Software - Application
CZR,Caesars Entertainment,Resorts & Casinos
CPT,Camden Property Trust,REIT - Residential
CPB,Campbell's Company (The),Packaged Foods
COF,Capital One,Credit Services
CAH,Cardinal Health,Medical Distribution
KMX,CarMax,Auto & Truck Dealerships
CCL,Carnival,Travel Services
CARR,Carrier Global,Building Products & Equipment
CAT,Caterpillar Inc.,Farm & Heavy Construction Machinery
CBOE,Cboe Global Markets,Financial Data & Stock Exchanges
CBRE,CBRE Group,Real Estate Services
CDW,CDW Corporation,Information Technology Services
COR,Cencora,Medical Distribution
CNC,Centene Corporation,Healthcare Plans
CNP,CenterPoint Energy,Utilities - Regulated Electric
CF,CF Industries,Agricultural Inputs
CRL,Charles River Laboratories,Diagnostics & Research
SCHW,Charles Schwab Corporation,Capital Markets
CHTR,Charter Communications,Telecom Services
CVX,Chevron Corporation,Oil & Gas Integrated
CMG,Chipotle Mexican Grill,Restaurants
CB,Chubb Limited,Insurance - Property & Casualty
CHD,Church & Dwight,Household & Personal Products
CI,Cigna,Healthcare Plans
CINF,Cincinnati Financial,Insurance - Property & Casualty
CTAS,Cintas,Specialty Business Services
CSCO,Cisco,Communication Equipment
C,Citigroup,Banks - Diversified
CFG,Citizens Financial Group,Banks - Regional
CLX,Clorox,Household & Personal Products
CME,CME Group,Financial Data & Stock Exchanges
CMS,CMS Energy,Utilities - Regulated Electric
KO,Coca-Cola Company (The),Beverages - Non-Alcoholic
CTSH,Cognizant,Information Technology Services
COIN,Coinbase,Financial Data & Stock Exchanges
CL,Colgate-Palmolive,Household & Personal Products
CMCSA,Comcast,Telecom Services
CAG,Conagra Brands,Packaged Foods
COP,ConocoPhillips,Oil & Gas E&P
ED,Consolidated Edison,Utilities - Regulated Electric
STZ,Constellation Brands,Beverages - Brewers
CEG,Constellation Energy,Utilities - Renewable
