Source,Target,Weight
KO,AAPL,5410
BAC,AAPL,10220
V,AAPL,3139
DIS,AAPL,6474
CMG,AAPL,3219
GM,AAPL,3637
IBM,AAPL,8949
QCOM,AAPL,6617
WMT,AAPL,5750
MS,AAPL,2600
SNAP,AAPL,14428
T,AAPL,4310
SRPT,AAPL,4707
INTC,AAPL,11036
WFC,AAPL,2583
NFLX,AAPL,35922
GOOGL,AAPL,66162
C,AAPL,6010
MSFT,AAPL,31000
AMZN,AAPL,68904
GS,AAPL,11822
SBUX,AAPL,2114
TGT,AAPL,1434
BA,AAPL,4613
X,AAPL,2396
PCLN,AAPL,7037
MCD,AAPL,2596
AMD,AAPL,9589
M,AAPL,979
NVDA,AAPL,22069
PFE,AAPL,2956
JPM,AAPL,6505
FB,AAPL,69014
JNJ,AAPL,4811
TSLA,AAPL,49526
PEP,AAPL,3781
HD,AAPL,2381
MU,AAPL,4603
XOM,AAPL,4573
CSCO,AAPL,3549
F,AAPL,18893
VZ,AAPL,2417
GE,AAPL,4978
GILD,AAPL,4708
AMGN,AAPL,5770
BMY,AAPL,875
TWTR,AAPL,16411
MRK,AAPL,2947
CAT,AAPL,2878
M,AMD,395
WFC,AMD,553
AAPL,AMD,11227
NFLX,AMD,4576
QCOM,AMD,1213
SBUX,AMD,412
BA,AMD,1052
CMG,AMD,1995
MU,AMD,6628
WMT,AMD,325
CSCO,AMD,2210
C,AMD,2242
KO,AMD,282
CAT,AMD,1161
SRPT,AMD,100
PEP,AMD,60
BMY,AMD,1422
F,AMD,2913
HD,AMD,257
VZ,AMD,259
GS,AMD,2929
TWTR,AMD,3078
GILD,AMD,1390
BAC,AMD,5229
GOOGL,AMD,6553
GM,AMD,1290
JNJ,AMD,359
SNAP,AMD,4708
DIS,AMD,572
TSLA,AMD,9838
T,AMD,3693
GE,AMD,1551
AMZN,AMD,8537
MRK,AMD,1433
JPM,AMD,2472
NVDA,AMD,20947
XOM,AMD,638
MSFT,AMD,4579
IBM,AMD,972
FB,AMD,7464
INTC,AMD,11503
MS,AMD,588
PCLN,AMD,320
PFE,AMD,2305
V,AMD,1046
TGT,AMD,211
AMGN,AMD,314
MCD,AMD,969
X,AMD,2005
PEP,AMGN,717
GILD,AMGN,6873
JNJ,AMGN,5504
X,AMGN,146
KO,AMGN,1043
SNAP,AMGN,5236
AMD,AMGN,359
GS,AMGN,3088
MSFT,AMGN,1074
C,AMGN,1548
QCOM,AMGN,344
BMY,AMGN,4655
MS,AMGN,69
FB,AMGN,6944
V,AMGN,251
CMG,AMGN,300
VZ,AMGN,194
