ID,Label,Industry
AOS,AOS,Hshld
APOG,APOG,Hshld
AVP,AVP,Hshld
BSET,BSET,Hshld
BTN,BTN,Hshld
CAW,CAW,Hshld
CHD,CHD,Hshld
CL,CL,Hshld
CLX,CLX,Hshld
COH,COH,Hshld
COTY,COTY,Hshld
CPSH,CPSH,Hshld
CTHR,CTHR,Hshld
DFBG,DFBG,Hshld
DFFN,DFFN,Hshld
DOV,DOV,Hshld
EL,EL,Hshld
ELF,ELF,Hshld
ETH,ETH,Hshld
FLXS,FLXS,Hshld
FORD,FORD,Hshld
FOSL,FOSL,Hshld
HBB,HBB,Hshld
HOFT,HOFT,Hshld
HOG,HOG,Hshld
HRG,HRG,Hshld
IKNX,IKNX,Hshld
KMB,KMB,Hshld
KODK,KODK,Hshld
LBY,LBY,Hshld
MOV,MOV,Hshld
NC,NC,Hshld
NUS,NUS,Hshld
ODC,ODC,Hshld
PG,PG,Hshld
REV,REV,Hshld
SCL,SCL,Hshld
SCSS,SCSS,Hshld
SNBR,SNBR,Hshld
STLY,STLY,Hshld
TPR,TPR,Hshld
TPX,TPX,Hshld
WHR,WHR,Hshld
XRX,XRX,Hshld
