ID,Label,Industry
AAPL,AAPL,Comps
AMZN,AMZN,BusSv
FB,FB,Comps
TSLA,TSLA,Unclassified
GOOGL,GOOGL,BusSv
NFLX,NFLX,Fun
MSFT,MSFT,BusSv
BA,BA,Aero
AMD,AMD,Chips
NVDA,NVDA,Chips
TWTR,TWTR,BusSv
JPM,JPM,Banks
BAC,BAC,Banks
GS,GS,Fin
DIS,DIS,BusSv
C,C,Banks
INTC,INTC,Chips
GE,GE,Mach
F,F,Autos
T,T,Telcm
SNAP,SNAP,BusSv
WFC,WFC,Banks
JNJ,JNJ,Drugs
ROKU,ROKU,Unclassified
MU,MU,Chips
IBM,IBM,BusSv
WMT,WMT,Rtail
PFE,PFE,Drugs
KO,KO,Soda
CRM,CRM,BusSv
CMG,CMG,Meals
V,V,BusSv
MCD,MCD,Meals
MS,MS,Fin
CAT,CAT,Mach
TGT,TGT,Rtail
BYND,BYND,Unclassified
MRK,MRK,Drugs
SQ,SQ,Comps
UNH,UNH,Insur
VZ,VZ,Telcm
QCOM,QCOM,Chips
CSCO,CSCO,Chips
MA,MA,BusSv
PEP,PEP,Soda
BRK,BRK,Insur
PYPL,PYPL,Unclassified
PG,PG,Hshld
TLRY,TLRY,Unclassified
SBUX,SBUX,Meals
