ID,Label,Industry
A,A,LabEq
AA,AA,Steel
AAL,AAL,Trans
AAMC,AAMC,Fin
AAME,AAME,Insur
AAN,AAN,BusSv
AAOI,AAOI,Unclassified
AAON,AAON,Mach
AAP,AAP,Rtail
AAPL,AAPL,Comps
AAWW,AAWW,Trans
AAXN,AAXN,Guns
ABBV,ABBV,Drugs
ABC,ABC,Hlth
ABCB,ABCB,Banks
ABEO,ABEO,BusSv
ABG,ABG,Rtail
ABIO,ABIO,Drugs
ABM,ABM,BusSv
ABMD,ABMD,MedEq
ABNB,ABNB,Unclassified
ABT,ABT,Whlsl
ABTX,ABTX,Unclassified
AC,AC,Fin
ACA,ACA,Mach
ACAD,ACAD,Drugs
ACAM,ACAM,Unclassified
ACBI,ACBI,Unclassified
ACCD,ACCD,Unclassified
ACCO,ACCO,Guns
ACEL,ACEL,Fun
ACER,ACER,Drugs
ACET,ACET,Unclassified
ACHC,ACHC,Unclassified
ACHN,ACHN,Drugs
ACHV,ACHV,Drugs
ACI,ACI,Rtail
ACIA,ACIA,Unclassified
ACIC,ACIC,Fin
ACIW,ACIW,BusSv
ACLS,ACLS,Mach
ACM,ACM,BusSv
ACMR,ACMR,Unclassified
ACNB,ACNB,Banks
ACOR,ACOR,Drugs
ACRS,ACRS,Unclassified
ACRX,ACRX,Unclassified
ACTG,ACTG,Drugs
ACU,ACU,BldMt
ACY,ACY,BusSv
ADBE,ADBE,BusSv
ADES,ADES,Chems
ADI,ADI,Chips
ADIL,ADIL,Unclassified
ADM,ADM,Food
ADMA,ADMA,BusSv
ADMP,ADMP,Drugs
ADMS,ADMS,Unclassified
ADP,ADP,BusSv
ADPT,ADPT,Unclassified
ADRO,ADRO,Unclassified
ADS,ADS,BusSv
ADSK,ADSK,BusSv
ADSW,ADSW,Other
ADT,ADT,BusSv
ADTN,ADTN,ElcEq
ADTX,ADTX,Unclassified
ADUS,ADUS,Unclassified
ADV,ADV,Unclassified
ADVM,ADVM,Unclassified
ADXS,ADXS,Unclassified
AE,AE,Whlsl
AEE,AEE,Util
AEGN,AEGN,Cnstr
AEHR,AEHR,LabEq
AEIS,AEIS,Chips
AEL,AEL,Insur
AEMD,AEMD,Unclassified
AEO,AEO,Rtail
AEP,AEP,Util
AERI,AERI,Unclassified
AES,AES,Util
AESE,AESE,Unclassified
AEY,AEY,BusSv
AEYE,AEYE,Unclassified
AFG,AFG,Insur
AFI,AFI,Cnstr
AFIB,AFIB,Unclassified
AFL,AFL,Insur
AGCO,AGCO,Mach
AGE,AGE,Drugs
AGEN,AGEN,Drugs
AGFS,AGFS,Unclassified
AGIO,AGIO,Unclassified
AGLE,AGLE,Unclassified
AGM,AGM,Banks
AGR,AGR,Util
AGRX,AGRX,Drugs
AGS,AGS,Toys
AGTC,AGTC,Unclassified
AGX,AGX,Telcm
AGYS,AGYS,Whlsl
AHAC,AHAC,Unclassified
AHC,AHC,Books
AHCO,AHCO,Unclassified
AHPI,AHPI,MedEq
AI,AI,BusSv
AIG,AIG,Insur
AIHS,AIHS,Unclassified
AIKI,AIKI,BusSv
AIM,AIM,Drugs
AIMC,AIMC,Mach
AIMT,AIMT,Unclassified
AIN,AIN,Txtls
AINC,AINC,Fin
AIO,AIO,Fin
AIR,AIR,Aero
AIRG,AIRG,Unclassified
AIRI,AIRI,Aero
AIRT,AIRT,Trans
AIT,AIT,Whlsl
AIZ,AIZ,Insur
AJG,AJG,Insur
AJRD,AJRD,Chips
AKAM,AKAM,BusSv
AKBA,AKBA,Unclassified
AKCA,AKCA,Unclassified
AKER,AKER,Unclassified
AKRO,AKRO,Unclassified
AKRX,AKRX,Drugs
AKS,AKS,Steel
AKTS,AKTS,Unclassified
AKUS,AKUS,Unclassified
AL,AL,BusSv
ALB,ALB,Chems
ALBO,ALBO,Drugs
ALCO,ALCO,Agric
ALDX,ALDX,Unclassified
ALE,ALE,Util
ALEC,ALEC,Unclassified
ALEX,ALEX,RlEst
ALG,ALG,Mach
ALGM,ALGM,Unclassified
ALGN,ALGN,MedEq
ALGR,ALGR,Unclassified
ALGS,ALGS,Unclassified
ALGT,ALGT,Trans
ALIM,ALIM,Unclassified
ALJJ,ALJJ,Unclassified
ALK,ALK,Trans
ALL,ALL,Insur
ALLK,ALLK,Unclassified
ALLO,ALLO,Unclassified
ALLY,ALLY,Banks
ALNA,ALNA,Unclassified
ALNY,ALNY,Drugs
ALOT,ALOT,Comps
ALPN,ALPN,Unclassified
ALRM,ALRM,Unclassified
ALRN,ALRN,Unclassified
ALRS,ALRS,Unclassified
ALSK,ALSK,Telcm
ALSN,ALSN,Whlsl
ALT,ALT,Drugs
ALTA,ALTA,Chips
ALTG,ALTG,BusSv
ALTM,ALTM,Unclassified
ALTR,ALTR,Unclassified
ALV,ALV,Autos
ALVR,ALVR,Unclassified
ALXN,ALXN,Drugs
ALXO,ALXO,Unclassified
AM,AM,Util
AMAG,AMAG,Drugs
AMAL,AMAL,Unclassified
AMAT,AMAT,Mach
AMBC,AMBC,Insur
AMC,AMC,Fun
AMCI,AMCI,Unclassified
AMCX,AMCX,Unclassified
AMD,AMD,Chips
AME,AME,LabEq
AMED,AMED,Hlth
AMEH,AMEH,Unclassified
AMG,AMG,Fin
AMGN,AMGN,Drugs
AMHC,AMHC,Unclassified
AMK,AMK,Fin
AMKR,AMKR,Chips
AMN,AMN,BusSv
AMNB,AMNB,Banks
AMOT,AMOT,LabEq
AMP,AMP,Fin
AMPE,AMPE,Drugs
AMPH,AMPH,Unclassified
AMPY,AMPY,Oil
AMRB,AMRB,Banks
AMRC,AMRC,BusSv
AMRH,AMRH,Chips
AMRK,AMRK,Unclassified
AMRS,AMRS,Unclassified
AMRX,AMRX,Whlsl
AMS,AMS,MedEq
AMSC,AMSC,Chips
AMSF,AMSF,Insur
AMST,AMST,Unclassified
AMSWA,AMSWA,BusSv
AMTB,AMTB,Unclassified
AMTBB,AMTBB,Unclassified
AMTD,AMTD,Fin
