Source,Target,Weight
U,A,157
CLF,A,1
DVN,A,25
LULU,A,18
CMCSA,A,20
JPM,A,235
LLY,A,296
TRIP,A,4
PYPL,A,38
HOOD,A,7
FSR,A,12
UPST,A,25
DGLY,A,3
KSS,A,354
M,A,178
COIN,A,31
KO,A,19
TWTR,A,95
DDOG,A,18
ESE,A,271
GME,A,107
GMBL,A,3
MU,A,28
MELI,A,92
TLRY,A,334
WMT,A,796
CVS,A,18
SQ,A,25
GNUS,A,17
BOXL,A,3
AAPL,A,692
IBIO,A,78
BBBY,A,88
HAL,A,7
PLTR,A,49
TSLA,A,423
AMZN,A,344
SPCE,A,62
ATER,A,3
SNOW,A,328
MMM,A,823
LMND,A,16
BMY,A,214
MARK,A,2
MSTR,A,5
TGT,A,430
BRK,A,9
ADBE,A,54
BK,A,18
PINS,A,8
LCID,A,19
QCOM,A,9
GILD,A,329
COP,A,247
UBER,A,12
MS,A,2421
ROKU,A,14
W,A,75
TTD,A,8
AA,A,187
NVAX,A,296
MGM,A,6
PENN,A,2
NET,A,7
GOOGL,A,372
ZM,A,467
APT,A,3
OCGN,A,153
GE,A,44
CEMI,A,149
CSCO,A,395
XSPA,A,1
CRWD,A,29
EBAY,A,16
RIVN,A,8
F,A,370
BNGO,A,251
PTON,A,2
MCD,A,14
AXP,A,14
AAL,A,52
SNX,A,11
ES,A,12
DAL,A,8
DOCU,A,12
PG,A,12
NOW,A,15
ABNB,A,45
C,A,582
ORCL,A,20
BYFC,A,1
BBIG,A,8
MRO,A,12
AFRM,A,22
JAGX,A,10
JBLU,A,5
RBLX,A,14
ON,A,53
VXRT,A,11
NKLA,A,22
MA,A,270
AMC,A,277
MRNA,A,406
PHUN,A,2
NOVN,A,1
FCEL,A,142
CAT,A,232
CVNA,A,12
AYRO,A,1
BIOC,A,4
EA,A,13
GEVO,A,3
DLTR,A,293
MULN,A,12
V,A,118
BYND,A,21
ETSY,A,27
LOW,A,872
KODK,A,1
SRNE,A,30
FDX,A,7
INO,A,8
JNJ,A,520
DOW,A,9
CRM,A,37
CMG,A,20
UNH,A,355
SOLO,A,1
ATVI,A,6
CVX,A,17
TWLO,A,14
OSTK,A,12
TNXP,A,144
ENPH,A,16
NBY,A,20
FUBO,A,30
MSFT,A,350
SNAP,A,23
UAL,A,9
AMGN,A,239
ABBV,A,236
PEP,A,10
DWAC,A,13
SCHW,A,2
TDOC,A,109
SBUX,A,26
PFE,A,350
BAC,A,205
INTC,A,151
LMT,A,13
X,A,135
NVDA,A,240
OGN,A,16
CLOV,A,8
SOFI,A,5
GM,A,13
PLUG,A,112
BA,A,35
RIOT,A,86
DIS,A,265
LYFT,A,10
XOM,A,42
META,A,345
AMD,A,67
WBA,A,8
CHWY,A,8
CEI,A,8
DKNG,A,92
NFLX,A,181
HD,A,1099
LUV,A,3
IBM,A,19
VZ,A,163
WISH,A,6
OXY,A,22
AVGO,A,19
MRK,A,314
MO,A,8
COST,A,41
TXN,A,12
NKE,A,55
T,A,186
UAVS,A,7
HTZ,A,4
FCX,A,62
WKHS,A,13
UPS,A,8
CZR,A,71
GS,A,71
WFC,A,159
DLTR,AA,34
CVNA,AA,492
NVDA,AA,735
V,AA,112
MSFT,AA,1546
ATVI,AA,44
AMD,AA,1841
PENN,AA,23
CVS,AA,70
APT,AA,2
SNAP,AA,2135
UNH,AA,674
MCD,AA,25
MSTR,AA,233
CMG,AA,17
LOW,AA,26
XELA,AA,12
META,AA,1584
SNOW,AA,118
TDOC,AA,51
MULN,AA,44
NBY,AA,3
TSLA,AA,4810
ZM,AA,58
F,AA,869
TXN,AA,39
KSS,AA,52
HTZ,AA,33
JAKK,AA,5
ON,AA,41
DGLY,AA,3
SPCE,AA,43
FUBO,AA,33
NKE,AA,126
STEM,AA,5
LULU,AA,81
C,AA,334
KODK,AA,5
LMND,AA,20
AMGN,AA,62
WISH,AA,13
TTD,AA,62
ORCL,AA,65
BNGO,AA,7
NKLA,AA,127
SOLO,AA,5
AMZN,AA,2133
CAT,AA,117
WBA,AA,204
ETSY,AA,53
NET,AA,68
CEI,AA,21
MARK,AA,3
BOXL,AA,5
UPS,AA,146
OSTK,AA,24
OXY,AA,558
BRK,AA,77
RIVN,AA,192
WFC,AA,335
DYNT,AA,1
TWTR,AA,542
GILD,AA,39
CRM,AA,151
AFRM,AA,504
MS,AA,534
DOW,AA,535
MO,AA,92
NFLX,AA,3852
PTON,AA,524
OCGN,AA,18
RIOT,AA,32
ES,AA,42
LMT,AA,1575
INO,AA,7
MMM,AA,47
WMT,AA,365
CZR,AA,65
BIOC,AA,1
NVAX,AA,98
MRK,AA,39
GE,AA,161
GME,AA,646
GNUS,AA,4
COST,AA,146
JNJ,AA,2194
ADBE,AA,119
T,AA,2017
M,AA,171
JAGX,AA,11
SNX,AA,13
UAVS,AA,5
FCEL,AA,36
CVX,AA,749
PFE,AA,386
U,AA,103
BBBY,AA,371
UAL,AA,1619
AVGO,AA,66
ENPH,AA,132
BA,AA,684
HAL,AA,1786
JBLU,AA,56
HOOD,AA,326
LCID,AA,246
AXP,AA,246
PLUG,AA,220
CMCSA,AA,45
XOM,AA,1142
MRNA,AA,218
