ticker,ff_48
A,37
AA,19
AACI,
AADI,
AAGR,
AAL,40
AAMC,47
AAME,45
AAN,34
AAOI,
AAON,21
AAP,42
AAPL,35
AAWW,40
ABAT,
ABBV,13
ABC,41
ABCB,44
ABEO,13
ABG,42
ABIO,13
ABL,
ABM,34
ABNB,
ABOS,
ABSI,
ABT,13
ABVC,
AC,47
ACA,21
ACAB,
ACAC,
ACAD,13
ACAH,
ACAQ,47
ACAX,
ACCD,
ACCO,41
ACDC,
ACEL,7
ACER,13
ACET,
ACGN,13
ACHC,
ACHR,24
ACHV,13
ACI,42
ACIC,
ACIW,34
ACLS,21
ACLX,
ACM,34
ACMR,
ACNB,44
ACNT,17
ACON,
ACOR,13
ACRO,47
ACRS,
ACRV,
ACRX,
ACST,
ACT,
ACTG,13
ACU,17
ACVA,
ACXP,
ADBE,34
ADEA,36
ADER,
ADES,14
ADEX,47
ADI,36
ADIL,
ADM,2
ADMA,34
ADMP,13
ADN,
ADP,34
ADPT,
ADRA,47
ADRT,47
ADSK,34
ADT,34
ADTH,
ADTN,36
ADTX,
ADUS,
ADV,
ADVM,
AE,41
AEAE,
AEE,31
AEHA,
AEHR,37
AEI,
AEIS,36
AEL,45
AEMD,
AENT,47
AEO,42
AEON,47
AEP,31
AERC,
AES,31
AESI,28
AEVA,47
AEY,34
AEYE,
AFBI,
AFCG,
AFG,45
AFIB,
AFL,45
AFRM,
AGAE,
AGCO,21
AGE,34
AGEN,13
AGFS,
AGFY,
AGIL,
AGIO,
AGL,45
AGLE,
AGM,44
AGR,31
AGRX,13
AGS,6
AGTI,34
AGX,32
AGYS,41
AHCO,
AHPI,12
AI,34
AIG,45
AIHS,
AIM,13
AIMC,21
AIMD,13
AIN,16
AINC,47
AIP,
AIR,24
AIRE,
AIRG,
AIRI,24
AIRS,
AIRT,40
AISP,
AIT,41
AIZ,45
AJG,45
AJRD,36
AKA,34
AKAM,34
AKBA,
AKLI,
AKRO,
AKTS,
AKU,
AKYA,
AL,34
ALB,14
ALBO,13
ALBT,
ALCC,47
ALCE,
ALCO,1
ALDX,
ALE,31
ALEC,
ALEX,46
ALG,21
ALGM,
ALGN,12
ALGS,
ALGT,40
ALHC,
ALIM,
ALIT,34
ALK,40
ALKT,
ALL,45
ALLK,
ALLO,
ALLR,
ALLY,44
ALNT,37
ALNY,13
ALOT,35
ALPA,
ALPN,
ALPP,
ALR,11
ALRM,
ALRN,
ALRS,
ALSN,41
ALT,13
ALTG,34
ALTI,
ALTO,14
ALTR,
