ID,Label
OI,OI
MA,MA
AVCO,AVCO
HOV,HOV
LEU,LEU
ICD,ICD
ESPR,ESPR
CTRA,CTRA
DFS,DFS
CLAR,CLAR
ALV,ALV
CTSH,CTSH
K,K
MNRO,MNRO
FLT,FLT
ABT,ABT
KAR,KAR
TXG,TXG
BWB,BWB
AXDX,AXDX
DISCA,DISCA
POWL,POWL
MSON,MSON
UQM,UQM
WK,WK
RGEN,RGEN
LVS,LVS
SLGG,SLGG
INSY,INSY
ATKR,ATKR
CHEF,CHEF
FII,FII
NTAP,NTAP
FTNT,FTNT
ISCA,ISCA
ZSAN,ZSAN
MBUU,MBUU
PCTY,PCTY
WBT,WBT
ADPT,ADPT
REX,REX
FLIC,FLIC
URI,URI
GNE,GNE
ZAYO,ZAYO
SJW,SJW
DBX,DBX
CORT,CORT
ECL,ECL
PCG,PCG
FMC,FMC
LZB,LZB
FORM,FORM
IRTC,IRTC
VAR,VAR
AXGN,AXGN
AMC,AMC
AMRX,AMRX
SAUC,SAUC
XEC,XEC
JAG,JAG
TDY,TDY
MR,MR
NYCB,NYCB
PDLI,PDLI
YUMA,YUMA
RSG,RSG
PNC,PNC
CRAI,CRAI
BAX,BAX
EXPI,EXPI
PUMP,PUMP
EIGR,EIGR
AKER,AKER
LEN,LEN
PAYS,PAYS
HOMB,HOMB
IDXG,IDXG
CRM,CRM
OCX,OCX
TYL,TYL
LOGC,LOGC
AXE,AXE
SPWR,SPWR
EXPE,EXPE
HE,HE
MTDR,MTDR
TRU,TRU
AMAT,AMAT
ABM,ABM
ENT,ENT
SGYP,SGYP
ISR,ISR
ASTC,ASTC
SBH,SBH
ARQL,ARQL
ELLI,ELLI
CFFI,CFFI
CVLY,CVLY
GE,GE
GME,GME
COOP,COOP
UTI,UTI
PGR,PGR
RARE,RARE
ODFL,ODFL
NTRA,NTRA
CAG,CAG
SILK,SILK
DRRX,DRRX
NCI,NCI
DLTR,DLTR
FAF,FAF
BMCH,BMCH
BMS,BMS
LMB,LMB
PHAS,PHAS
LCI,LCI
PNFP,PNFP
LM,LM
FSLY,FSLY
MATW,MATW
HPQ,HPQ
MDB,MDB
FSS,FSS
GOOGL,GOOGL
SATS,SATS
NAVI,NAVI
BKE,BKE
LYFT,LYFT
BLNK,BLNK
MYRG,MYRG
BMI,BMI
ALGN,ALGN
OII,OII
MSI,MSI
KLAC,KLAC
NEE,NEE
FOXA,FOXA
VSM,VSM
WAFD,WAFD
GKOS,GKOS
TGNA,TGNA
NET,NET
REAL,REAL
SGRP,SGRP
OFG,OFG
BNGO,BNGO
BKNG,BKNG
BRSS,BRSS
WCC,WCC
CPSI,CPSI
GRA,GRA
ALG,ALG
MDP,MDP
MTSI,MTSI
SWN,SWN
III,III
BHF,BHF
NDLS,NDLS
NNVC,NNVC
TREE,TREE
SIGA,SIGA
AMGN,AMGN
CTXS,CTXS
SYK,SYK
SEB,SEB
ACHN,ACHN
AKRO,AKRO
CKPT,CKPT
SFLY,SFLY
GNW,GNW
GTT,GTT
EVI,EVI
TGC,TGC
FUV,FUV
MIK,MIK
CGNX,CGNX
EVH,EVH
QEP,QEP
DELL,DELL
BANC,BANC
IPG,IPG
SYMC,SYMC
FIBK,FIBK
HAS,HAS
EXEL,EXEL
PNW,PNW
OKTA,OKTA
ZFGN,ZFGN
DGX,DGX
CDMO,CDMO
TOL,TOL
KFY,KFY
SCVL,SCVL
EB,EB
JCP,JCP
DVN,DVN
EVBG,EVBG
XGN,XGN
TPR,TPR
FRC,FRC
UNFI,UNFI
BBIO,BBIO
KLIC,KLIC
NOW,NOW
SRCL,SRCL
LBRT,LBRT
TTNP,TTNP
FOXF,FOXF
SUPN,SUPN
RKDA,RKDA
CC,CC
TLRD,TLRD
EGHT,EGHT
CDZI,CDZI
CUTR,CUTR
FELE,FELE
WINR,WINR
CHD,CHD
FCCY,FCCY
MAS,MAS
CHRA,CHRA
LPSN,LPSN
FNLC,FNLC
OMC,OMC
BOOT,BOOT
